# t, z, y
60.50, 1, 9000
61.10, 1, 10000
63.4, 1, 11000
65.6, 1, 12000
67.8, 1, 13000
70.1, 1, 14000
72.30, 1, 15000
74.5, 1, 16000
76.6, 1, 17000
78.9, 1, 18000
80.8, 1, 19000
82.5, 1, 20000
84.2, 1, 21000
85.8, 1, 22000
87.5, 1, 23000
89.2, 1, 24000
90.8, 1, 25000
92.5, 1, 26000
94.1, 1, 27000
95.8, 1, 28000
97.5, 1, 29000
99.1, 1, 30000
100.6, 1, 31000
101.8, 1, 32000
103.1, 1, 33000
104.3, 1, 34000
105.6, 1, 35000
106.8, 1, 36000
108.1, 1, 37000
109.3, 1, 38000
110.6, 1, 39000
111.8, 1, 40000
113.1, 1, 41000
114.5, 1, 42000
115.6, 1, 43000
116.9, 1, 44000
117.8, 1, 45000
